"artist_id","followers","genres","image_middle","name","popularity","external_urls","href","uri"
"4gMvnN95G04oiw69npjpN2",917,"baroque ensemble,classical performance",https://i.scdn.co/image/ab67616d00001e026e3f669ba1a8b0bdf085edf7,Combattimento Consort Amsterdam,25,https://open.spotify.com/artist/4gMvnN95G04oiw69npjpN2,https://api.spotify.com/v1/artists/4gMvnN95G04oiw69npjpN2,spotify:artist:4gMvnN95G04oiw69npjpN2
"7xB7TQUAeFWgqdkhGiArgZ",27103,"classical performance,orchestral performance",https://i.scdn.co/image/9bf3ce3b476989247dd7d506a65f055162ad1276,Christina Pluhar,46,https://open.spotify.com/artist/7xB7TQUAeFWgqdkhGiArgZ,https://api.spotify.com/v1/artists/7xB7TQUAeFWgqdkhGiArgZ,spotify:artist:7xB7TQUAeFWgqdkhGiArgZ
"5NsqmeJh7bjIypsfWeJPib",415,classical soprano,https://i.scdn.co/image/ab67616d00001e026043b7bbb7ddb47cbd165952,Midori Suzuki,19,https://open.spotify.com/artist/5NsqmeJh7bjIypsfWeJPib,https://api.spotify.com/v1/artists/5NsqmeJh7bjIypsfWeJPib,spotify:artist:5NsqmeJh7bjIypsfWeJPib
"5Ac7rBwAF2MX98ku1isuhy",908,"classical bass,classical performance",https://i.scdn.co/image/3fe2d8d3366a72dfe6768a29bb2f9a8513744119,Peter Kooij,37,https://open.spotify.com/artist/5Ac7rBwAF2MX98ku1isuhy,https://api.spotify.com/v1/artists/5Ac7rBwAF2MX98ku1isuhy,spotify:artist:5Ac7rBwAF2MX98ku1isuhy
"0f3PsS9IQ6whvNMFFKnpjl",65321,"british choir,cambridge choir,choral",https://i.scdn.co/image/ab676161000051746de6da5cea55bb5be533c5ae,"Choir of King's College, Cambridge",53,https://open.spotify.com/artist/0f3PsS9IQ6whvNMFFKnpjl,https://api.spotify.com/v1/artists/0f3PsS9IQ6whvNMFFKnpjl,spotify:artist:0f3PsS9IQ6whvNMFFKnpjl
"1wRYjgSbjcvKON9GU5n1Dd",5,"",https://i.scdn.co/image/ab67616d00001e0203d9ce3c99be85bb8652566d,Wilko Brouwers,0,https://open.spotify.com/artist/1wRYjgSbjcvKON9GU5n1Dd,https://api.spotify.com/v1/artists/1wRYjgSbjcvKON9GU5n1Dd,spotify:artist:1wRYjgSbjcvKON9GU5n1Dd
"66xtCjvWWjyvuD96T7uMXc",2025,choral,https://i.scdn.co/image/e2a31c4de513d07803c81820d5207725e0a7ec03,Philip Ledger,35,https://open.spotify.com/artist/66xtCjvWWjyvuD96T7uMXc,https://api.spotify.com/v1/artists/66xtCjvWWjyvuD96T7uMXc,spotify:artist:66xtCjvWWjyvuD96T7uMXc
"4aef4Hp3Mk6d1kBbzURk1H",291,"",https://i.scdn.co/image/ab67616d00001e023274cb86d8acf33b4436aeef,Masato Suzuki,18,https://open.spotify.com/artist/4aef4Hp3Mk6d1kBbzURk1H,https://api.spotify.com/v1/artists/4aef4Hp3Mk6d1kBbzURk1H,spotify:artist:4aef4Hp3Mk6d1kBbzURk1H
"6pqASX91Qh5vjWHFuLAllv",326,classical soprano,https://i.scdn.co/image/ab67616d00001e02595679ec0d74e6ea043e3be5,Ruth Holton,20,https://open.spotify.com/artist/6pqASX91Qh5vjWHFuLAllv,https://api.spotify.com/v1/artists/6pqASX91Qh5vjWHFuLAllv,spotify:artist:6pqASX91Qh5vjWHFuLAllv
"0gmKLfaE6sG19fpCMJWhe3",1190,classical soprano,https://i.scdn.co/image/db03f5007c09790ebbc2379732f5a8c43ad93481,Barbara Schlick,30,https://open.spotify.com/artist/0gmKLfaE6sG19fpCMJWhe3,https://api.spotify.com/v1/artists/0gmKLfaE6sG19fpCMJWhe3,spotify:artist:0gmKLfaE6sG19fpCMJWhe3
"3anEi2otD1MetZyNd8iIdu",86,"",https://i.scdn.co/image/ab67616d00001e025548295bb1ebb50434b74dff,Hannah Morrison,17,https://open.spotify.com/artist/3anEi2otD1MetZyNd8iIdu,https://api.spotify.com/v1/artists/3anEi2otD1MetZyNd8iIdu,spotify:artist:3anEi2otD1MetZyNd8iIdu
