,user,item,time_period,timestamp,position
48,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2rEORYFAt7S0dzdbmDoffU,medium,1666364044.2272007,48
49,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2u3k4qplPLgSe7T6DqLBfe,medium,1666364044.2272007,49
50,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,7vn49ZdixEcFx3mFlSwtgF,long,1666364044.2272007,0
51,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0JgjL7KShhHQAUV3FFoC1Z,long,1666364044.2272007,1
52,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,54BouDwpd7q8L5cTfLLWhb,long,1666364044.2272007,2
53,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,6sX2xk9V3nNVmKbSFK1obY,long,1666364044.2272007,3
54,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4Ajs0h4FZNsJ6ppeI4lxmJ,long,1666364044.2272007,4
55,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,09yKf49I8qDnzBWzjzELaM,long,1666364044.2272007,5
56,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,5Q8pzX4ctv71YRhfRwrLRX,long,1666364044.2272007,6
57,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1c8DabOQsVRFe4U7ZZPV38,long,1666364044.2272007,7
58,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,6IaV4hjpkHCivLRUlLE0KX,long,1666364044.2272007,8
59,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,5OI1WEeHCdkAffOhuUhznw,long,1666364044.2272007,9
60,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2KG6ZtZVHkc0R3psJhWbnf,long,1666364044.2272007,10
61,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,38iLlfThQU3RbyEbOC79s7,long,1666364044.2272007,11
62,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0LmeqJwizXCHNGVHMQfMy9,long,1666364044.2272007,12
63,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1eyhZf2stL2a1AXSfeKyYn,long,1666364044.2272007,13
64,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4KRijBbZ4oqh9c7VBlFh4p,long,1666364044.2272007,14
65,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4nBRJUeN5kdHXc51pbcn4o,long,1666364044.2272007,15
66,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,5ZiMscIUd9Gozq4JFPnlJQ,long,1666364044.2272007,16
67,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2O5JJWHFQG212GO5uDYKZE,long,1666364044.2272007,17
